state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n
OH,8,2,1,2,0,1,1,4014
OH,8,2,1,3,0,1,1,2120
OH,8,2,1,3,1,1,1,997
OH,8,2,1,3,2,3,1,1253
OH,8,2,1,4,1,0,1,4526
OH,8,2,1,4,1,1,1,1421
OH,8,2,1,5,0,0,1,2499
OH,8,2,1,5,0,1,1,2279
OH,8,2,1,5,2,0,1,1024
OH,8,2,1,5,2,2,1,346
OH,8,2,2,2,0,1,1,1263
OH,8,2,2,2,2,1,1,4716
OH,8,2,2,4,0,0,0,2613
OH,8,2,2,4,0,1,0,2469
OH,8,2,2,4,0,1,1,3145
OH,8,2,2,5,0,0,1,5240
OH,8,2,2,5,2,1,0,262
OH,8,5,1,3,0,0,1,2012
OH,8,5,1,3,0,1,1,1057
OH,8,5,1,3,1,0,1,1891
OH,8,5,1,3,1,1,1,1454
OH,8,5,1,3,1,3,1,871
OH,8,5,1,3,2,3,1,420
OH,8,5,1,4,1,0,1,1867
OH,8,5,1,5,0,0,1,4590
OH,8,5,1,5,0,1,1,4322
OH,8,5,1,5,1,1,1,2829
OH,8,5,1,5,2,0,1,347
OH,8,5,2,1,0,0,0,3348
OH,8,5,2,3,0,0,0,861
OH,8,5,2,3,0,0,1,2766
OH,8,5,2,3,1,1,1,1600
OH,8,5,2,3,2,0,0,623
OH,8,5,2,3,2,1,1,1373
OH,8,5,2,4,0,0,0,1097
OH,8,5,2,4,0,0,1,1807
OH,8,5,2,4,0,1,0,238
OH,8,5,2,4,2,0,1,109
OH,8,5,2,4,2,1,0,1249
OH,8,5,2,5,0,0,1,1642
OH,8,5,2,5,0,1,1,2692
OH,8,5,2,5,0,2,1,571
OH,8,5,2,5,1,0,0,1820
OH,9,3,1,1,0,0,1,7051
OH,9,3,1,2,1,0,1,14103
OH,9,3,1,2,1,1,1,2469
OH,9,3,1,2,1,3,1,1458
OH,9,3,1,3,0,0,0,2083
OH,9,3,1,3,0,0,1,4136
OH,9,3,1,3,0,1,1,9223
OH,9,3,1,3,0,2,0,5653
OH,9,3,1,3,0,2,1,1041
OH,9,3,1,3,0,3,0,1666
OH,9,3,1,3,0,3,1,1041
OH,9,3,1,3,1,0,0,1220
OH,9,3,1,3,1,0,1,16840
OH,9,3,1,3,1,1,0,3065
OH,9,3,1,3,1,1,1,16989
OH,9,3,1,3,1,2,0,1041
OH,9,3,1,3,1,2,1,2142
OH,9,3,1,3,1,3,1,4998
OH,9,3,1,3,2,0,0,3154
OH,9,3,1,3,2,0,1,8003
OH,9,3,1,3,2,1,0,595
OH,9,3,1,3,2,1,1,3392
OH,9,3,1,3,2,3,1,5177
OH,9,3,1,4,0,0,1,9491
OH,9,3,1,4,0,1,0,595
OH,9,3,1,4,0,1,1,14490
OH,9,3,1,4,0,3,1,4255
